lemma,count,per_1000
einräumen,9,0.257
regierend,9,0.257
spielen,9,0.257
ehemalig,9,0.257
rechnung,9,0.257
richtung,9,0.257
finanziell,9,0.257
sicherheit,9,0.257
beteiligen,9,0.257
übergang,9,0.257
einnahme,9,0.257
person,9,0.257
großartig,9,0.257
privileg,9,0.257
einführen,9,0.257
nachricht,9,0.257
tiber,9,0.257
vieler,9,0.257
anspruch,9,0.257
versehen,9,0.257
gleichartig,9,0.257
beistand,9,0.257
größe,9,0.257
cassius,9,0.257
fordern,9,0.257
zehnmänner,9,0.257
decemvirn,9,0.257
einsetzung,9,0.257
sturz,9,0.257
entgegen,9,0.257
kriegserklärung,9,0.257
stehend,9,0.257
abzug,9,0.257
vergeblich,9,0.257
staatsmann,9,0.257
notwendigkeit,9,0.257
arbeit,9,0.257
schaffen,9,0.257
schwach,9,0.257
sicherung,9,0.257
bildung,9,0.257
verhältnismäßig,9,0.257
schiff,9,0.257
koalition,9,0.257
osten,9,0.257
zivilisation,9,0.257
günstig,9,0.257
schwert,9,0.257
westlich,9,0.257
einheimisch,9,0.257
höchst,9,0.257
volsinii,9,0.257
erwarten,9,0.257
bürgerbezirk,9,0.257
aufkommen,9,0.257
beute,9,0.257
handel,9,0.257
velitrae,9,0.257
tibur,9,0.257
cales,9,0.257
fühlen,9,0.257
sitte,9,0.257
fregellae,9,0.257
blick,9,0.257
lucanien,9,0.257
decius,9,0.257
reserve,9,0.257
demetrio,9,0.257
sena,9,0.257
troisch,9,0.257
bewegen,8,0.228
nichtbürger,8,0.228
gleichberechtigung,8,0.228
begehren,8,0.228
entstehung,8,0.228
vielfach,8,0.228
proletariat,8,0.228
herbeiführen,8,0.228
lebenslänglich,8,0.228
anknüpfen,8,0.228
auswärtig,8,0.228
nahe,8,0.228
richter,8,0.228
konkurrierend,8,0.228
hören,8,0.228
verbrechen,8,0.228
untergeordnet,8,0.228
äußerlich,8,0.228
auftreten,8,0.228
hinsichtlich,8,0.228
untersagen,8,0.228
verwerfen,8,0.228
verbinden,8,0.228
pflicht,8,0.228
weshalb,8,0.228
fort,8,0.228
materiell,8,0.228
derjenig,8,0.228
pferd,8,0.228
lösen,8,0.228
betreffend,8,0.228
zukunft,8,0.228
schluß,8,0.228
erwerben,8,0.228
dergleich,8,0.228
gleichstellung,8,0.228
üblich,8,0.228
schatzung,8,0.228
gefahr,8,0.228
schlag,8,0.228
befugen,8,0.228
haupt,8,0.228
wiederum,8,0.228
staatlich,8,0.228
befehl,8,0.228
fahren,8,0.228
komiti,8,0.228
stützen,8,0.228
geradezu,8,0.228
existenz,8,0.228
scheiden,8,0.228
mittlerer,8,0.228
linie,8,0.228
menschlich,8,0.228
verzichten,8,0.228
maßregel,8,0.228
einerseits,8,0.228
weide,8,0.228
willkür,8,0.228
eröffnen,8,0.228
boden,8,0.228
vorläufig,8,0.228
leiden,8,0.228
scheitern,8,0.228
tor,8,0.228
anio,8,0.228
erinnern,8,0.228
imperium,8,0.228
bewirken,8,0.228
schließlich,8,0.228
genügen,8,0.228
bahn,8,0.228
öffnen,8,0.228
kapitol,8,0.228
plebiscit,8,0.228
fassen,8,0.228
ausmachen,8,0.228
rang,8,0.228
außerordentlich,8,0.228
passiv,8,0.228
begreifen,8,0.228
eindringen,8,0.228
bemächtigen,8,0.228
ädilität,8,0.228
prätur,8,0.228
retten,8,0.228
pyrrhisch,8,0.228
curius,8,0.228
cornelius,8,0.228
ausdehnung,8,0.228
mühe,8,0.228
hafen,8,0.228
kampanien,8,0.228
korsika,8,0.228
phönikier,8,0.228
besitzung,8,0.228
kyme,8,0.228
unteritalien,8,0.228
wogegen,8,0.228
stande,8,0.228
falerii,8,0.228
kapitolinisch,8,0.228
all,8,0.228
held,8,0.228
sutrium,8,0.228
kolonist,8,0.228
unteritalisch,8,0.228
kontingent,8,0.228
muster,8,0.228
suessa,8,0.228
paeligner,8,0.228
schwerlich,8,0.228
bemerkenswert,8,0.228
stil,8,0.228
ernannt,7,0.2
schicksal,7,0.2
rücksicht,7,0.2
not,7,0.2
sabeller,7,0.2
etruskern,7,0.2
gau,7,0.2
zeugen,7,0.2
götter,7,0.2
bekleiden,7,0.2
lebhaft,7,0.2
wiederherstellen,7,0.2
kollegialität,7,0.2
übernehmen,7,0.2
oberbefehl,7,0.2
rechnen,7,0.2
schranke,7,0.2
wert,7,0.2
ausüben,7,0.2
bestätigen,7,0.2
vertreten,7,0.2
wichtigkeit,7,0.2
erstenmal,7,0.2
klage,7,0.2
quästor,7,0.2
tätigkeit,7,0.2
hinaus,7,0.2
fußvolk,7,0.2
benennung,7,0.2
vorhanden,7,0.2
durchsetzen,7,0.2
erweiterung,7,0.2
erfolgen,7,0.2
kurienversammlung,7,0.2
altbürgerschaft,7,0.2
widerspruch,7,0.2
angehören,7,0.2
annahme,7,0.2
debatte,7,0.2
aufnahme,7,0.2
schwergewicht,7,0.2
ändern,7,0.2
stetig,7,0.2
unfähig,7,0.2
vornherein,7,0.2
beginnend,7,0.2
satz,7,0.2
bürgerversammlung,7,0.2
sitt,7,0.2
brauchen,7,0.2
besetzung,7,0.2
angesehen,7,0.2
verlängern,7,0.2
fördern,7,0.2
verderblich,7,0.2
eigentum,7,0.2
treiben,7,0.2
domän,7,0.2
ackerbau,7,0.2
staatskasse,7,0.2
mitte,7,0.2
annale,7,0.2
hemmen,7,0.2
schlachtfeld,7,0.2
valerius,7,0.2
unabhängig,7,0.2
zustand,7,0.2
kassieren,7,0.2
augenblicklich,7,0.2
schwierig,7,0.2
staatsrecht,7,0.2
pleb,7,0.2
preisgeben,7,0.2
derartig,7,0.2
beitragen,7,0.2
quelle,7,0.2
weisen,7,0.2
erobern,7,0.2
gleichmäßig,7,0.2
schwäche,7,0.2
sterben,7,0.2
ausdrücklich,7,0.2
stabsoffizier,7,0.2
allemal,7,0.2
quästur,7,0.2
stets,7,0.2
titus,7,0.2
umsonst,7,0.2
schild,7,0.2
manlius,7,0.2
winter,7,0.2
verweigern,7,0.2
befreien,7,0.2
pflegen,7,0.2
einsichtig,7,0.2
licinisch,7,0.2
pontifices,7,0.2
verwandeln,7,0.2
ungefähr,7,0.2
längst,7,0.2
fabricius,7,0.2
uralt,7,0.2
fabius,7,0.2
legion,7,0.2
abgeschlossen,7,0.2
anlangen,7,0.2
durchführen,7,0.2
glaube,7,0.2
kern,7,0.2
wendung,7,0.2
unbestritten,7,0.2
aricia,7,0.2
diesmal,7,0.2
dorisch,7,0.2
erleiden,7,0.2
angelegt,7,0.2
gangbar,7,0.2
kriegsschiff,7,0.2
verteidigung,7,0.2
schicken,7,0.2
cato,7,0.2
fochen,7,0.2
anstrengung,7,0.2
einfall,7,0.2
gedanke,7,0.2
selbstverwaltung,7,0.2
selbständig,7,0.2
erobert,7,0.2
gesandt,7,0.2
marser,7,0.2
circeii,7,0.2
aufstand,7,0.2
erfolgt,7,0.2
autonomie,7,0.2
geographisch,7,0.2
bevor,7,0.2
sora,7,0.2
festsetzen,7,0.2
teanum,7,0.2
barbarisch,7,0.2
bezirk,7,0.2
samniter,7,0.2
hoffnung,7,0.2
gefangen,7,0.2
geisel,7,0.2
litoral,7,0.2
umbrisch,7,0.2
hellenismus,7,0.2
milon,7,0.2
lilybäon,7,0.2
kupfer,7,0.2
lateinisch,7,0.2
grabschrift,7,0.2
künstler,7,0.2
erfindung,7,0.2
druck,6,0.171
unternehmen,6,0.171
berauben,6,0.171
eingreifen,6,0.171
seltsam,6,0.171
verfassungsänderung,6,0.171
ersetzen,6,0.171
bedürfen,6,0.171
veränderung,6,0.171
beabsichtigen,6,0.171
verfügung,6,0.171
historisch,6,0.171
chronologisch,6,0.171
verwirrung,6,0.171
worin,6,0.171
prinzip,6,0.171
unterscheiden,6,0.171
heben,6,0.171
gemeindevorsteher,6,0.171
ablauf,6,0.171
zeichen,6,0.171
höchstens,6,0.171
vollziehen,6,0.171
sakral,6,0.171
hindern,6,0.171
sodann,6,0.171
überwiegend,6,0.171
wille,6,0.171
möglichkeit,6,0.171
unvermeidlich,6,0.171
konstituieren,6,0.171
steigern,6,0.171
gemeindebeamt,6,0.171
teilnehmen,6,0.171
stolz,6,0.171
wesentliche,6,0.171
neubürger,6,0.171
maß,6,0.171
konzession,6,0.171
verkennen,6,0.171
hauptsache,6,0.171
urheber,6,0.171
gemeinderat,6,0.171
gemeindebeschluß,6,0.171
junkertum,6,0.171
ausschließung,6,0.171
privilegiert,6,0.171
formulieren,6,0.171
gelegentlich,6,0.171
verbieten,6,0.171
imstande,6,0.171
stück,6,0.171
sitzen,6,0.171
beträchtlich,6,0.171
posten,6,0.171
zurücksetzung,6,0.171
system,6,0.171
assignation,6,0.171
bezweifeln,6,0.171
gebrauch,6,0.171
umso,6,0.171
aushebung,6,0.171
friede,6,0.171
strenge,6,0.171
drohend,6,0.171
herstellen,6,0.171
zufällig,6,0.171
willkürlich,6,0.171
verhindern,6,0.171
verordnen,6,0.171
nacht,6,0.171
volkstribun,6,0.171
persönlichkeit,6,0.171
heilig,6,0.171
anerkennung,6,0.171
leuchten,6,0.171
mensch,6,0.171
volkstribune,6,0.171
zulassung,6,0.171
steuern,6,0.171
okkupation,6,0.171
grundsässig,6,0.171
beinamen,6,0.171
erbittert,6,0.171
publilisch,6,0.171
distrikt,6,0.171
tribus,6,0.171
ausführung,6,0.171
vergleich,6,0.171
decemvirat,6,0.171
geschrieben,6,0.171
schlechterdings,6,0.171
bürgerlichen,6,0.171
doppelt,6,0.171
unerhört,6,0.171
schwanken,6,0.171
wiederholen,6,0.171
endigen,6,0.171
wahlrecht,6,0.171
verfolgen,6,0.171
cerestempel,6,0.171
länge,6,0.171
benutzen,6,0.171
bild,6,0.171
ahn,6,0.171
gutachten,6,0.171
hindurch,6,0.171
entfernen,6,0.171
aktiv,6,0.171
veientisch,6,0.171
tapferkeit,6,0.171
gefeiert,6,0.171
keim,6,0.171
hundert,6,0.171
abschluß,6,0.171
trümmer,6,0.171
feierlich,6,0.171
opfer,6,0.171
frau,6,0.171
gewissermaßen,6,0.171
aufstellen,6,0.171
töricht,6,0.171
klug,6,0.171
kühn,6,0.171
bestand,6,0.171
quintus,6,0.171
waffenstillstand,6,0.171
geführt,6,0.171
kriegführung,6,0.171
innerlich,6,0.171
gegenwärtig,6,0.171
ruhen,6,0.171
schwankend,6,0.171
mut,6,0.171
klientel,6,0.171
suprematie,6,0.171
erzählen,6,0.171
ungemein,6,0.171
ionisch,6,0.171
syrakusaner,6,0.171
verfall,6,0.171
steigerung,6,0.171
agathokles,6,0.171
katastrophe,6,0.171
cicero,6,0.171
fechten,6,0.171
ungeheur,6,0.171
fahne,6,0.171
norden,6,0.171
boier,6,0.171
kämpfen,6,0.171
nachbar,6,0.171
tarquinii,6,0.171
stürzen,6,0.171
siegen,6,0.171
vernehmen,6,0.171
ciminisch,6,0.171
verzweifelt,6,0.171
tal,6,0.171
kosten,6,0.171
arretium,6,0.171
anregung,6,0.171
anlegung,6,0.171
chronik,6,0.171
signia,6,0.171
latinische,6,0.171
hernikisch,6,0.171
bestandteil,6,0.171
nachweislich,6,0.171
neapel,6,0.171
vergleichen,6,0.171
kroton,6,0.171
luxus,6,0.171
ostia,6,0.171
wovon,6,0.171
general,6,0.171
papirius,6,0.171
wohin,6,0.171
arbeiten,6,0.171
lokri,6,0.171
mamertiner,6,0.171
mittelmeer,6,0.171
nichtlatinisch,6,0.171
bezeichnung,6,0.171
beilegen,6,0.171
polizei,6,0.171
erfinden,6,0.171
manipel,6,0.171
bogen,6,0.171
bühne,6,0.171
kunstübung,6,0.171
vorgeschichte,6,0.171
kalender,6,0.171
bekanntlich,6,0.171
orelli,6,0.171
entsprechend,5,0.143
insbesondere,5,0.143
servianisch,5,0.143
latinern,5,0.143
jährig,5,0.143
frist,5,0.143
anekdote,5,0.143
ergänzen,5,0.143
aussprechen,5,0.143
blind,5,0.143
glauben,5,0.143
ohnmächtig,5,0.143
mehrere,5,0.143
jahrbücher,5,0.143
zurückführen,5,0.143
königsgewalt,5,0.143
