band,left,unnamed:2,unnamed:3,unnamed:4,unnamed:5,unnamed:6,unnamed:7,unnamed:8,unnamed:9,unnamed:10,keyword,right,unnamed:13,unnamed:14,unnamed:15,unnamed:16,unnamed:17,unnamed:18,unnamed:19,unnamed:20,unnamed:21,context,adjectives
Buch4,die,Maschine,der,Komitien,und,die,Möglichkeit,zu,verschaffen,den,Senat,und,die,Beamten,nötigenfalls,zu,terrorisieren,so,faßte,doch,der,die Senat und,[]
Buch4,großen,und,ganzen,genommen,betrachtet,werden,als,im,Gegensatz,zum,Senat,die,Spekulantenaristokratie,vertretend,obwohl,die,nicht,in,den,Senat,eingetretenen,großen Senat die,['groß']
Buch4,zum,Senat,die,Spekulantenaristokratie,vertretend,obwohl,die,nicht,in,den,Senat,eingetretenen,namentlich,also,die,jüngeren,Glieder,der,senatorischen,Familien,nicht,zum Senat eingetretenen,[]
Buch4,der,vermögenden,Kaufleute,berührte,vielfältig,sich,unsanft,mit,dem,regierenden,Senat,Es,war,eine,natürliche,Antipathie,zwischen,den,vornehmen,Adligen,und,der Senat Es,[]
Buch4,die,römischen,Kapitalisten,so,ließen,doch,die,regierenden,Herren,vom,Senat,sich,nicht,dazu,herbei,den,Begehrlichkeiten,und,Unrechtfertigkeiten,der,Geldmänner,die Senat sich,[]
Buch4,die,Provinz,Asia,an,die,Römer,gefallen,war,hatte,der,Senat,sie,im,wesentlichen,nach,dem,ersten,System,einrichten,lassen,Gaius,die Senat sie,[]
Buch4,ins,Leben,rief,Charakteristisch,für,Gracchus,Bestreben,den,Kapitalistenstand,vom,Senat,unabhängig,zu,machen,ist,dabei,noch,die,Bestimmung,daß,der,ins Senat unabhängig,[]
Buch4,oder,teilweise,Erlaß,der,Pachtsumme,nicht,mehr,wie,bisher,vom,Senat,nach,Ermessen,bewilligt,werden,sondern,unter,bestimmten,Voraussetzungen,gesetzlich,eintreten,oder Senat nach,[]
Buch4,ein,selbst,der,Regierung,imponierender,Kern,der,hohen,Finanz,ein,Senat,der,Kaufmannschaft,konstituiert,ward,so,ward,denselben,zugleich,in,den,ein Senat der,[]
Buch4,Kommissionen,entschieden,Bisher,waren,jene,und,diese,ausschließlich,aus,dem,Senat,genommen,worden,Gracchus,überwies,sowohl,in,den,eigentlichen,Civilprozessen,wie,Kommissionen Senat genommen,[]
Buch4,an,sein,Hauptwerk,an,den,Sturz,der,regierenden,Aristokratie,Den,Senat,stürzen,hieß,einerseits,durch,gesetzliche,Neuerungen,eine,wesentliche,Kompetenz,ihm,an Senat stürzen,[]
Buch4,hat,beides,getan,Vor,allem,die,Verwaltung,hatte,bisher,dem,Senat,ausschließlich,zugestanden,Gracchus,nahm,sie,ihm,ab,indem,er,teils,hat Senat ausschließlich,[]
Buch4,durch,tribunicische,Machtsprüche,entschied,teils,in,den,laufenden,Angelegenheiten,den,Senat,möglichst,beschränkte,teils,selbst,in,der,umfassendsten,Weise,die,Geschäfte,durch Senat möglichst,[]
Buch4,schon,erwähnt,der,neue,Herr,des,Staats,disponierte,ohne,den,Senat,zu,fragen,über,die,Staatskasse,indem,er,durch,die,Getreideverteilung,schon Senat zu,[]
Buch4,nach,Volksschluß,aussandte,über,die,Provinzialverwaltung,indem,er,die,vom,Senat,der,Provinz,Asia,gegebene,Steuerverfassung,durch,ein,Volksgesetz,umstieß,und,nach Senat der,[]
Buch4,indirekte,Druck,auf,die,höchsten,Beamten,dadurch,beschränkt,daß,der,Senat,angewiesen,ward,diese,Kompetenzen,festzustellen,bevor,die,betreffenden,Konsuln,gewählt,indirekte Senat angewiesen,['indirekt']
Buch4,ward,schon,gesagt,dasselbe,geschah,mit,der,Jurisdiktion,die,der,Senat,als,oberste,Verwaltungsbehörde,sich,in,Ausnahmsfällen,gestaltete,Bei,scharfer,Strafe,ward Senat als,[]
Buch4,Gericht,gesessen,hatte,Die,Summe,dieser,Maßregeln,ist,daß,der,Senat,die,Kontrolle,ganz,verlor,und,von,der,Verwaltung,nur,behielt,Gericht Senat die,[]
Buch4,war,Gaius,freilich,wohl,schwerlich,zur,Ausführung,gelangter,Plan,den,Senat,durch,300,neue,Mitglieder,das,heißt,ungefähr,ebensoviele,als,er,war Senat durch,[]
Buch4,wählen,zu,lassen,eine,Pairskreierung,im,umfassendsten,Stil,die,den,Senat,in,die,vollständigste,Abhängigkeit,von,dem,Staatsoberhaupt,gebracht,haben,würde,wählen Senat in,[]
Buch4,Assignation,der,latinischen,Domänen,weitaus,zu,niedrig,Schon,daß,der,Senat,es,durchsetzte,die,sämtlichen,Nichtbürger,vor,dem,entscheidenden,Abstimmungstag,aus,Assignation Senat es,[]
Buch4,bereiten,Es,war,wie,es,scheint,dieser,Erfolg,der,dem,Senat,den,Mut,gab,den,Sturz,des,siegreichen,Demagogen,zu,versuchen,bereiten Senat den,[]
Buch4,die,Rolle,der,Armee,spielte,Es,war,einleuchtend,daß,der,Senat,weder,der,Kaufmannschaft,noch,dem,Proletariat,ihre,neuen,Rechte,abzuzwingen,die Senat weder,[]
Buch4,oder,etwas,civilisierterer,Form,zu,einem,Straßenkrawall,geführt,dem,der,Senat,völlig,wehrlos,gegenüberstand,Allein,es,war,nicht,minder,einleuchtend,daß,oder Senat völlig,[]
Buch4,die,Schlacht,anzubieten,Es,versteht,sich,von,selbst,daß,der,Senat,dem,Proletariat,nicht,bloß,das,gleiche,bot,was,Gracchus,ihm,die Senat dem,[]
Buch4,ausdrücklich,warnen,solle,vor,dem,Wiederaufbau,der,gottverfluchten,Stätte,Der,Senat,fand,dadurch,sich,in,seinem,Gewissen,gedrungen,ein,Gesetz,vorschlagen,ausdrücklich Senat fand,[]
Buch4,neu,gerüstet,in,dem,Heerzeug,der,gestürzten,Tyrannis,wie,der,Senat,den,Gracchus,mit,dessen,eigenen,Waffen,aus,dem,Felde,geschlagen,neu Senat den,[]
Buch4,Anfechtungen,der,Regierungspartei,trotz,des,geradezu,auf,Aufhebung,derselben,vom,Senat,gestellten,Antrags,dennoch,geschützt,wahrscheinlich,durch,die,beteiligten,kaufmännischen,Interessen,Anfechtungen Senat gestellten,[]
Buch4,und,gegen,die,ausschweifenden,Absichten,mancher,römischen,Demagogen,bei,dem,Senat,Schutz,suchten,und,fanden,Während,also,die,restaurierte,Regierung,es,und Senat Schutz,[]
Buch4,in,anerkannter,Zehrberechtigung,die,Geschwornen,aus,dem,Kaufmannsstand,ließ,der,Senat,gleichfalls,sich,gefallen,so,widerwärtig,auch,dieses,Joch,eben,dem,in Senat gleichfalls,[]
Buch4,noch,ferner,zu,trüben,Beide,wußten,sehr,genau,daß,der,Senat,alle,Zugeständnisse,nur,aus,Angst,und,widerwillig,gewährte,weder,durch,noch Senat alle,[]
Buch4,und,hatten,nichts,dagegen,wenn,sich,eine,Gelegenheit,gab,den,Senat,zu,chicanieren,oder,zu,hemmen,So,regierte,die,Restauration,weiter,und Senat zu,[]
Buch4,und,wer,einigen,guten,Willen,mitbrachte,konnte,urteilen,daß,der,Senat,in,der,Unrechtfertigkeit,ein,gewisses,Maß,und,ein,gewisses,Decorum,und Senat in,[]
Buch4,übergaben,In,der,Tat,wenn,ein,paar,Jahrhunderte,zuvor,der,Senat,einer,Versammlung,von,Königen,glich,so,spielten,diese,ihre,Nachfahren,übergaben Senat einer,[]
Buch4,die,Sklavenschaften,ein,Infolge,einer,hiergegen,im,J,650,vom,Senat,erlassenen,scharfen,Verfügung,setzte,der,damalige,Statthalter,von,Sicilien,Publius,die Senat erlassenen,[]
Buch4,nicht,Jugurtha,sei,sondern,Adherbal,Selbst,die,leitenden,Männer,im,Senat,erschraken,vor,dem,Skandal,Marcus,Scaurus,suchte,zu,steuern,es,nicht Senat erschraken,[]
Buch4,Skandal,Marcus,Scaurus,suchte,zu,steuern,es,war,umsonst,Der,Senat,überging,das,Geschehene,mit,Stillschweigen,und,verfügte,daß,die,beiden,Skandal Senat überging,[]
Buch4,beteiligenden,Italikern,täglich,sich,herumschlugen,erschien,die,von,dem,römischen,Senat,auf,Adherbals,erste,Beschwerden,abgeordnete,Kommission,natürlich,junge,unerfahrene,Menschen,beteiligenden Senat auf,['beteiligend']
Buch4,ein,Schreiben,des,Königs,voll,der,flehentlichsten,Bitten,an,den,Senat,kam,raffte,derselbe,sich,auf,und,faßte,wirklich,einen,Beschluß,ein Senat kam,[]
